Nombre;Dirección;Municipio;Código Postal;Teléfono
MARTORELL JUSTRIBO, MONTSERRAT                       ;PASSEIG  MOSSEN JAUME GORDI       8;SANTA COLOMA DE GRAMENET  ;08921          ;933860102      
DORDAL CARALT, ESTER                                 ;CARRER   PARE RODES               10;SANTA PERPETUA DE MOGODA  ;08130          ;935600204      
VALLS MAYNOU, MERCE                                  ;AVINGUDA CATALUNYA                17;CERDANYOLA DEL VALLES     ;08290          ;936921130      
ALVAREZ PEREIRO, JULIA ROSAIO                        ;AVINGUDA CATALUNYA                49 B;CERDANYOLA DEL VALLES     ;08290          ;935947008      
ROIG MARTINEZ, MARTA                                 ;PASSEIG  ANSELM CLAVE             23-25;SENTMENAT                 ;08781          ;937150384      
FERRET DE QUEROL, FRANCESC XAVIER                    ;PLA�A    CAP DE LA VILA           9;SITGES                    ;08870          ;938110033      
RIPOLL ESPINAT, M.ANGELS                             ;CARRER   SALVADOR VANCELL         8;SURIA                     ;08260          ;938695049      
COLLADO GIL, VIRGINA                                 ;CARRER   SALVADOR VANCELL         28;SURIA                     ;08260          ;938695695      
BARFULL FONT, ANNA                                   ;PASSEIG  DOMENEC SERT             14;TARADELL                  ;08552          ;938800056      
DE CACHO RIVERA, JORDI                               ;RAVAL    DE MONTSERRAT            48;TERRASSA                  ;08221          ;937885380      
DE VEGA RUBIO, RUBEN                                 ;CARRER   TOPETE                   90;TERRASSA                  ;08221          ;937835217      
VICENTE DE AVILES, FAUSTINO                          ;AVINGUDA DEL VALLES               457;TERRASSA                  ;08226          ;937853499      
TARIN CARDONA, LLUIS                                 ;CARRER   FONT VELLA               71;TERRASSA                  ;08221          ;937362023      
MESTRE GORNE, ROSALIA                                ;CARRER   NOU DE SANT PERE         65;TERRASSA                  ;08221          ;937318168      
TORRENT SOLANS, ANNA                                 ;PLA�A    VELLA                    2;TERRASSA                  ;08221          ;937800910      
ESPI PUMAROLA, M.DEL CARME                           ;PASSEIG  VINT-I-DOS DE JULIOL     333;TERRASSA                  ;08225          ;937881802      
MAGA�A ESMERATS, SILVIA                              ;CARRER   NORD                     92-94;TERRASSA                  ;08221          ;937835140      
CAMACHO ALVAREZ, MILAGROS                            ;RAMBLA   EGARA                    390;TERRASSA                  ;08221          ;937883934      
BRUGUERAS GARCIA, JOAN                               ;CARRER   PORTAL SANT ROC          64;TERRASSA                  ;08221          ;937885441      
CARBO ALSIUS, MERCE                                  ;CARRER   MAJOR DE SANT PERE       93;TERRASSA                  ;08222          ;937839738      
TORRAS SOLA, JOSEP M                                 ;CARRER   SANT FRANCESC            12;TERRASSA                  ;08221          ;937800920      
