Id;Codifarm;Nom;Municipi;Adreça;CP;Tipusdevia;Numerovia;Telefon;Nomabs
67797;F08009966;HORMIGOS PEREZ, MARIA CARMEN;BARCELONA;BLANCA;8014;RIERA;191-193;933321595;BARCELONA 3-D
67798;F08009973;ISLA CARRANZA, JOSEP LLUIS;BARCELONA;PINTOR TAPIRO;8028;CARRER;11;934496552;BARCELONA 4-C
67799;F08009980;BERNALDO BECH, ROSER;SABADELL;CAMPOAMOR;8204;CARRER;40;937104342;SABADELL 6
67800;F08010009;SANFELIU SOTO, ENRIC;HOSPITALET DE LLOBREGAT L';JUST  OLIVERAS;8901;RAMBLA;44;933373164;HOSPITALET DE LLOBREGAT 1
67801;F08010016;CRUSET GARRELL, NURIA;SABADELL;CONCORDIA;8206;AVINGUDA;48;937230794;SABADELL 4-A
67802;F08010023;ARANZANA MARTINEZ, FRANCESCA;BARCELONA;LLEIDA;8004;CARRER;55 B;934241527;BARCELONA 3-B
67803;F08010030;CAPDEVILA VILA, MERCE;HOSPITALET DE LLOBREGAT L';SANT ROC;8901;CARRER;35;933371281;HOSPITALET DE LLOBREGAT 1
67804;F08010048;MONZO GRUART, MARTA;BARCELONA;RECTOR TRIADO;8014;CARRER;84;933251482;BARCELONA 3-G
67805;F08010055;PASCUAL PICH, M ANGELS;BADALONA;SANTIAGO RUSIÑOL;8911;CARRER;131;933890307;BADALONA 1
67806;F08010062;PLANAS LASA, ROMULO;BARCELONA;PERE IV;8018;CARRER;209-211;933077408;BARCELONA 10-C
67807;F08010070;ARGEMI ALSINA,T/ARGEMI ALZINA, M;SABADELL;ESPANYA;8207;PLAÇA;2;937230878;SABADELL 3-A
67808;F08010087;PRATS MORA, M.MERCE;BARCELONA;BUNYOLA;8016;CARRER;12;933530956;BARCELONA 8-D
67809;F08010094;GRANCHE GARCIA, SARA;BARCELONA;JULIOL;8026;CARRER;27;932368842;BARCELONA 7-G
67810;F08010104;ESQUERRA GUIXA, RAMON;BARCELONA;FRESER;8026;CARRER;194-198;934353191;BARCELONA 10-F
67811;F08010111;MASONS BUENO, M. CARME;BARCELONA;FELIP II;8016;AVINGUDA;271;933522451;BARCELONA 8-J
67812;F08010129;GARCIA BELMONTE, M.DEL ROCIO;BARCELONA;GUINARDO;8041;RONDA;156-158;934553070;BARCELONA 7-G
67813;F08010136;LUCEA TERUEL, ESTHER;BARCELONA;PIFERRER;8016;CARRER;99;933524906;BARCELONA 8-B
67814;F08010143;MONTORIOL PALMES,RAIMON;BADALONA;EUROPA;8913;CARRER;10;933981900;BADALONA 6
67815;F08010150;PUEYO GARCIA, MA PILAR;CORNELLA DE LLOBREGAT;ANSELM CLAVE;8940;RAMBLA;19;933770297;CORNELLA DE LLOBREGAT 1
67816;F08010168;PAL MARCH, JOSEP A/PAL BOIX,ROSA M/PAL BOIX,ANTONI;BADALONA;INDEPENDENCIA;8915;CARRER;190;933833652;BADALONA 11
